Sun May 12 21:06:57, NORTH ENTRY, 31.0 °C

Sun May 12 21:10:40, NORTH ENTRY, 27.0 °C

Sun May 12 21:10:40, EAST ENTRY, 27.0 °C

Sun May 12 21:10:40, WEST ENTRY, 27.0 °C

Sun May 12 21:10:40, SOUTH ENTRY, 27.0 °C

Sun May 12 21:10:40, NORTH ENTRY, 27.0 °C

Sun May 12 21:10:40, EAST ENTRY, 27.0 °C

Sun May 12 21:10:40, WEST ENTRY, 27.0 °C

Sun May 12 21:10:40, SOUTH ENTRY, 27.0 °C

Sun May 12 21:10:42, NORTH ENTRY, 25.0 °C

Sun May 12 21:10:42, EAST ENTRY, 25.0 °C

Sun May 12 21:10:42, WEST ENTRY, 25.0 °C

Sun May 12 21:10:42, SOUTH ENTRY, 25.0 °C

Sun May 12 21:10:42, NORTH ENTRY, 25.0 °C

Sun May 12 21:10:42, EAST ENTRY, 25.0 °C

Sun May 12 21:10:42, WEST ENTRY, 25.0 °C

Sun May 12 21:10:42, SOUTH ENTRY, 25.0 °C

Sun May 12 21:10:44, NORTH ENTRY, 31.0 °C

Sun May 12 21:10:44, EAST ENTRY, 31.0 °C

Sun May 12 21:10:44, WEST ENTRY, 31.0 °C

Sun May 12 21:10:44, SOUTH ENTRY, 31.0 °C

Sun May 12 21:10:44, NORTH ENTRY, 31.0 °C

Sun May 12 21:10:44, EAST ENTRY, 31.0 °C

Sun May 12 21:10:44, WEST ENTRY, 31.0 °C

Sun May 12 21:10:44, SOUTH ENTRY, 31.0 °C

Sun May 12 21:10:46, NORTH ENTRY, 19.0 °C

Sun May 12 21:10:46, EAST ENTRY, 19.0 °C

Sun May 12 21:10:46, WEST ENTRY, 19.0 °C

Sun May 12 21:10:46, SOUTH ENTRY, 19.0 °C

Sun May 12 21:10:46, NORTH ENTRY, 19.0 °C

Sun May 12 21:10:46, EAST ENTRY, 19.0 °C

Sun May 12 21:10:46, WEST ENTRY, 19.0 °C

Sun May 12 21:10:46, SOUTH ENTRY, 19.0 °C

Sun May 12 21:10:48, NORTH ENTRY, 17.0 °C

Sun May 12 21:10:48, EAST ENTRY, 17.0 °C

Sun May 12 21:10:48, WEST ENTRY, 17.0 °C

Sun May 12 21:10:48, SOUTH ENTRY, 17.0 °C

Sun May 12 21:10:48, NORTH ENTRY, 17.0 °C

Sun May 12 21:10:48, EAST ENTRY, 17.0 °C

Sun May 12 21:10:48, WEST ENTRY, 17.0 °C

Sun May 12 21:10:48, SOUTH ENTRY, 17.0 °C

Sun May 12 21:10:50, NORTH ENTRY, 20.0 °C

Sun May 12 21:10:50, EAST ENTRY, 20.0 °C

Sun May 12 21:10:50, WEST ENTRY, 20.0 °C

Sun May 12 21:10:50, SOUTH ENTRY, 20.0 °C

Sun May 12 21:10:50, NORTH ENTRY, 20.0 °C

Sun May 12 21:10:50, EAST ENTRY, 20.0 °C

Sun May 12 21:10:50, WEST ENTRY, 20.0 °C

Sun May 12 21:10:50, SOUTH ENTRY, 20.0 °C

Sun May 12 21:10:52, NORTH ENTRY, 34.0 °C

Sun May 12 21:10:52, EAST ENTRY, 34.0 °C

Sun May 12 21:10:52, WEST ENTRY, 34.0 °C

Sun May 12 21:10:52, SOUTH ENTRY, 34.0 °C

Sun May 12 21:10:52, NORTH ENTRY, 34.0 °C

Sun May 12 21:10:52, EAST ENTRY, 34.0 °C

Sun May 12 21:10:52, WEST ENTRY, 34.0 °C

Sun May 12 21:10:52, SOUTH ENTRY, 34.0 °C

Sun May 12 21:10:54, NORTH ENTRY, 37.0 °C

Sun May 12 21:10:54, EAST ENTRY, 37.0 °C

Sun May 12 21:10:54, WEST ENTRY, 37.0 °C

Sun May 12 21:10:54, SOUTH ENTRY, 37.0 °C

Sun May 12 21:10:54, NORTH ENTRY, 37.0 °C

Sun May 12 21:10:54, EAST ENTRY, 37.0 °C

Sun May 12 21:10:54, WEST ENTRY, 37.0 °C

Sun May 12 21:10:54, SOUTH ENTRY, 37.0 °C

Sun May 12 21:10:56, NORTH ENTRY, 33.0 °C

Sun May 12 21:10:56, EAST ENTRY, 33.0 °C

Sun May 12 21:10:56, WEST ENTRY, 33.0 °C

Sun May 12 21:10:56, SOUTH ENTRY, 33.0 °C

Sun May 12 21:10:56, NORTH ENTRY, 33.0 °C

Sun May 12 21:10:56, EAST ENTRY, 33.0 °C

Sun May 12 21:10:56, WEST ENTRY, 33.0 °C

Sun May 12 21:10:56, SOUTH ENTRY, 33.0 °C

Sun May 12 21:10:58, NORTH ENTRY, 29.0 °C

Sun May 12 21:10:58, EAST ENTRY, 29.0 °C

Sun May 12 21:10:58, WEST ENTRY, 29.0 °C

Sun May 12 21:10:58, SOUTH ENTRY, 29.0 °C

Sun May 12 21:10:58, NORTH ENTRY, 29.0 °C

Sun May 12 21:10:58, EAST ENTRY, 29.0 °C

Sun May 12 21:10:58, WEST ENTRY, 29.0 °C

Sun May 12 21:10:58, SOUTH ENTRY, 29.0 °C

Sun May 12 21:11:00, NORTH ENTRY, 29.0 °C

Sun May 12 21:11:00, EAST ENTRY, 29.0 °C

Sun May 12 21:11:00, WEST ENTRY, 29.0 °C

Sun May 12 21:11:00, SOUTH ENTRY, 29.0 °C

Sun May 12 21:11:00, NORTH ENTRY, 29.0 °C

Sun May 12 21:11:00, EAST ENTRY, 29.0 °C

Sun May 12 21:11:00, WEST ENTRY, 29.0 °C

Sun May 12 21:11:00, SOUTH ENTRY, 29.0 °C

Sun May 12 21:11:02, NORTH ENTRY, 37.0 °C

Sun May 12 21:11:02, EAST ENTRY, 37.0 °C

Sun May 12 21:11:02, WEST ENTRY, 37.0 °C

Sun May 12 21:11:02, SOUTH ENTRY, 37.0 °C

Sun May 12 21:11:02, NORTH ENTRY, 37.0 °C

Sun May 12 21:11:02, EAST ENTRY, 37.0 °C

Sun May 12 21:11:02, WEST ENTRY, 37.0 °C

Sun May 12 21:11:02, SOUTH ENTRY, 37.0 °C

Sun May 12 21:11:04, NORTH ENTRY, 17.0 °C

Sun May 12 21:11:04, EAST ENTRY, 17.0 °C

Sun May 12 21:11:04, WEST ENTRY, 17.0 °C

Sun May 12 21:11:04, SOUTH ENTRY, 17.0 °C

Sun May 12 21:11:04, NORTH ENTRY, 17.0 °C

Sun May 12 21:11:04, EAST ENTRY, 17.0 °C

Sun May 12 21:11:04, WEST ENTRY, 17.0 °C

Sun May 12 21:11:04, SOUTH ENTRY, 17.0 °C

Sun May 12 21:11:06, NORTH ENTRY, 25.0 °C

Sun May 12 21:11:06, EAST ENTRY, 25.0 °C

Sun May 12 21:11:06, WEST ENTRY, 25.0 °C

Sun May 12 21:11:06, SOUTH ENTRY, 25.0 °C

Sun May 12 21:11:06, NORTH ENTRY, 25.0 °C

Sun May 12 21:11:06, EAST ENTRY, 25.0 °C

Sun May 12 21:11:06, WEST ENTRY, 25.0 °C

Sun May 12 21:11:06, SOUTH ENTRY, 25.0 °C

Sun May 12 21:11:08, NORTH ENTRY, 25.0 °C

Sun May 12 21:11:08, EAST ENTRY, 25.0 °C

Sun May 12 21:11:08, WEST ENTRY, 25.0 °C

Sun May 12 21:11:08, SOUTH ENTRY, 25.0 °C

Sun May 12 21:11:08, NORTH ENTRY, 25.0 °C

Sun May 12 21:11:08, EAST ENTRY, 25.0 °C

Sun May 12 21:11:08, WEST ENTRY, 25.0 °C

Sun May 12 21:11:08, SOUTH ENTRY, 25.0 °C

Sun May 12 21:11:10, NORTH ENTRY, 29.0 °C

Sun May 12 21:11:10, EAST ENTRY, 29.0 °C

Sun May 12 21:11:10, WEST ENTRY, 29.0 °C

Sun May 12 21:11:10, SOUTH ENTRY, 29.0 °C

Sun May 12 21:11:10, NORTH ENTRY, 29.0 °C

Sun May 12 21:11:10, EAST ENTRY, 29.0 °C

Sun May 12 21:11:10, WEST ENTRY, 29.0 °C

Sun May 12 21:11:10, SOUTH ENTRY, 29.0 °C

Sun May 12 21:11:12, NORTH ENTRY, 27.0 °C

Sun May 12 21:11:12, EAST ENTRY, 27.0 °C

Sun May 12 21:11:12, WEST ENTRY, 27.0 °C

Sun May 12 21:11:12, SOUTH ENTRY, 27.0 °C

Sun May 12 21:11:12, NORTH ENTRY, 27.0 °C

Sun May 12 21:11:12, EAST ENTRY, 27.0 °C

Sun May 12 21:11:12, WEST ENTRY, 27.0 °C

Sun May 12 21:11:12, SOUTH ENTRY, 27.0 °C

Sun May 12 21:11:14, NORTH ENTRY, 20.0 °C

Sun May 12 21:11:14, EAST ENTRY, 20.0 °C

Sun May 12 21:11:14, WEST ENTRY, 20.0 °C

Sun May 12 21:11:14, SOUTH ENTRY, 20.0 °C

Sun May 12 21:11:14, NORTH ENTRY, 20.0 °C

Sun May 12 21:11:14, EAST ENTRY, 20.0 °C

Sun May 12 21:11:14, WEST ENTRY, 20.0 °C

Sun May 12 21:11:14, SOUTH ENTRY, 20.0 °C

Sun May 12 21:11:16, NORTH ENTRY, 36.0 °C

Sun May 12 21:11:16, EAST ENTRY, 36.0 °C

Sun May 12 21:11:16, WEST ENTRY, 36.0 °C

Sun May 12 21:11:16, SOUTH ENTRY, 36.0 °C

Sun May 12 21:11:16, NORTH ENTRY, 36.0 °C

Sun May 12 21:11:16, EAST ENTRY, 36.0 °C

Sun May 12 21:11:16, WEST ENTRY, 36.0 °C

Sun May 12 21:11:16, SOUTH ENTRY, 36.0 °C

Sun May 12 21:11:18, NORTH ENTRY, 23.0 °C

Sun May 12 21:11:18, EAST ENTRY, 23.0 °C

Sun May 12 21:11:18, WEST ENTRY, 23.0 °C

Sun May 12 21:11:18, SOUTH ENTRY, 23.0 °C

Sun May 12 21:11:18, NORTH ENTRY, 23.0 °C

Sun May 12 21:11:18, EAST ENTRY, 23.0 °C

Sun May 12 21:11:18, WEST ENTRY, 23.0 °C

Sun May 12 21:11:18, SOUTH ENTRY, 23.0 °C

Sun May 12 21:11:20, NORTH ENTRY, 23.0 °C

Sun May 12 21:11:20, EAST ENTRY, 23.0 °C

Sun May 12 21:11:20, WEST ENTRY, 23.0 °C

Sun May 12 21:11:20, SOUTH ENTRY, 23.0 °C

Sun May 12 21:11:20, NORTH ENTRY, 23.0 °C

Sun May 12 21:11:20, EAST ENTRY, 23.0 °C

Sun May 12 21:11:20, WEST ENTRY, 23.0 °C

Sun May 12 21:11:20, SOUTH ENTRY, 23.0 °C

Sun May 12 21:11:22, NORTH ENTRY, 32.0 °C

Sun May 12 21:11:22, EAST ENTRY, 32.0 °C

Sun May 12 21:11:22, WEST ENTRY, 32.0 °C

Sun May 12 21:11:22, SOUTH ENTRY, 32.0 °C

Sun May 12 21:11:22, NORTH ENTRY, 32.0 °C

Sun May 12 21:11:22, EAST ENTRY, 32.0 °C

Sun May 12 21:11:22, WEST ENTRY, 32.0 °C

Sun May 12 21:11:22, SOUTH ENTRY, 32.0 °C

Sun May 12 21:11:24, NORTH ENTRY, 31.0 °C

Sun May 12 21:11:24, EAST ENTRY, 31.0 °C

Sun May 12 21:11:24, WEST ENTRY, 31.0 °C

Sun May 12 21:11:24, SOUTH ENTRY, 31.0 °C

Sun May 12 21:11:24, NORTH ENTRY, 31.0 °C

Sun May 12 21:11:24, EAST ENTRY, 31.0 °C

Sun May 12 21:11:24, WEST ENTRY, 31.0 °C

Sun May 12 21:11:24, SOUTH ENTRY, 31.0 °C

Sun May 12 21:11:26, NORTH ENTRY, 37.0 °C

Sun May 12 21:11:26, EAST ENTRY, 37.0 °C

Sun May 12 21:11:26, WEST ENTRY, 37.0 °C

Sun May 12 21:11:26, SOUTH ENTRY, 37.0 °C

Sun May 12 21:11:26, NORTH ENTRY, 37.0 °C

Sun May 12 21:11:26, EAST ENTRY, 37.0 °C

Sun May 12 21:11:26, WEST ENTRY, 37.0 °C

Sun May 12 21:11:26, SOUTH ENTRY, 37.0 °C

Sun May 12 21:11:28, NORTH ENTRY, 29.0 °C

Sun May 12 21:11:28, EAST ENTRY, 29.0 °C

Sun May 12 21:11:28, WEST ENTRY, 29.0 °C

Sun May 12 21:11:28, SOUTH ENTRY, 29.0 °C

Sun May 12 21:11:28, NORTH ENTRY, 29.0 °C

Sun May 12 21:11:28, EAST ENTRY, 29.0 °C

Sun May 12 21:11:28, WEST ENTRY, 29.0 °C

Sun May 12 21:11:28, SOUTH ENTRY, 29.0 °C

Sun May 12 21:11:30, NORTH ENTRY, 34.0 °C

Sun May 12 21:11:30, EAST ENTRY, 34.0 °C

Sun May 12 21:11:30, WEST ENTRY, 34.0 °C

Sun May 12 21:11:30, SOUTH ENTRY, 34.0 °C

Sun May 12 21:11:30, NORTH ENTRY, 34.0 °C

Sun May 12 21:11:30, EAST ENTRY, 34.0 °C

Sun May 12 21:11:30, WEST ENTRY, 34.0 °C

Sun May 12 21:11:30, SOUTH ENTRY, 34.0 °C

Sun May 12 21:11:31, NORTH ENTRY, 19.0 °C

Sun May 12 21:11:31, EAST ENTRY, 19.0 °C

Sun May 12 21:11:31, WEST ENTRY, 19.0 °C

Sun May 12 21:11:31, SOUTH ENTRY, 19.0 °C

Sun May 12 21:11:32, NORTH ENTRY, 17.0 °C

Sun May 12 21:11:32, EAST ENTRY, 17.0 °C

Sun May 12 21:11:32, WEST ENTRY, 17.0 °C

Sun May 12 21:11:32, SOUTH ENTRY, 17.0 °C

Sun May 12 21:11:32, NORTH ENTRY, 17.0 °C

Sun May 12 21:11:32, EAST ENTRY, 17.0 °C

Sun May 12 21:11:32, WEST ENTRY, 17.0 °C

Sun May 12 21:11:32, SOUTH ENTRY, 17.0 °C

Sun May 12 21:11:33, NORTH ENTRY, 27.0 °C

Sun May 12 21:11:33, EAST ENTRY, 27.0 °C

Sun May 12 21:11:33, WEST ENTRY, 27.0 °C

Sun May 12 21:11:33, SOUTH ENTRY, 27.0 °C

Sun May 12 21:11:34, NORTH ENTRY, 26.0 °C

Sun May 12 21:11:34, EAST ENTRY, 26.0 °C

Sun May 12 21:11:34, WEST ENTRY, 26.0 °C

Sun May 12 21:11:34, SOUTH ENTRY, 26.0 °C

Sun May 12 21:11:34, NORTH ENTRY, 26.0 °C

Sun May 12 21:11:34, EAST ENTRY, 26.0 °C

Sun May 12 21:11:34, WEST ENTRY, 26.0 °C

Sun May 12 21:11:34, SOUTH ENTRY, 26.0 °C

Sun May 12 21:11:35, NORTH ENTRY, 21.0 °C

Sun May 12 21:11:35, EAST ENTRY, 21.0 °C

Sun May 12 21:11:35, WEST ENTRY, 21.0 °C

Sun May 12 21:11:35, SOUTH ENTRY, 21.0 °C

Sun May 12 21:11:36, NORTH ENTRY, 16.0 °C

Sun May 12 21:11:36, EAST ENTRY, 16.0 °C

Sun May 12 21:11:36, WEST ENTRY, 16.0 °C

Sun May 12 21:11:36, SOUTH ENTRY, 16.0 °C

Sun May 12 21:11:36, NORTH ENTRY, 16.0 °C

Sun May 12 21:11:36, EAST ENTRY, 16.0 °C

Sun May 12 21:11:36, WEST ENTRY, 16.0 °C

Sun May 12 21:11:36, SOUTH ENTRY, 16.0 °C

Sun May 12 21:11:37, NORTH ENTRY, 35.0 °C

Sun May 12 21:11:37, EAST ENTRY, 35.0 °C

Sun May 12 21:11:37, WEST ENTRY, 35.0 °C

Sun May 12 21:11:37, SOUTH ENTRY, 35.0 °C

Sun May 12 21:11:38, NORTH ENTRY, 20.0 °C

Sun May 12 21:11:38, EAST ENTRY, 20.0 °C

Sun May 12 21:11:38, WEST ENTRY, 20.0 °C

Sun May 12 21:11:38, SOUTH ENTRY, 20.0 °C

Sun May 12 21:11:38, NORTH ENTRY, 20.0 °C

Sun May 12 21:11:38, EAST ENTRY, 20.0 °C

Sun May 12 21:11:38, WEST ENTRY, 20.0 °C

Sun May 12 21:11:38, SOUTH ENTRY, 20.0 °C

Sun May 12 21:11:39, NORTH ENTRY, 28.0 °C

Sun May 12 21:11:39, EAST ENTRY, 28.0 °C

Sun May 12 21:11:39, WEST ENTRY, 28.0 °C

Sun May 12 21:11:39, SOUTH ENTRY, 28.0 °C

Sun May 12 21:11:40, NORTH ENTRY, 20.0 °C

Sun May 12 21:11:40, EAST ENTRY, 20.0 °C

Sun May 12 21:11:40, WEST ENTRY, 20.0 °C

Sun May 12 21:11:40, SOUTH ENTRY, 20.0 °C

Sun May 12 21:11:40, NORTH ENTRY, 20.0 °C

Sun May 12 21:11:40, EAST ENTRY, 20.0 °C

Sun May 12 21:11:40, WEST ENTRY, 20.0 °C

Sun May 12 21:11:40, SOUTH ENTRY, 20.0 °C

Sun May 12 21:11:41, NORTH ENTRY, 37.0 °C

Sun May 12 21:11:41, EAST ENTRY, 37.0 °C

Sun May 12 21:11:41, WEST ENTRY, 37.0 °C

Sun May 12 21:11:41, SOUTH ENTRY, 37.0 °C

Sun May 12 21:11:42, NORTH ENTRY, 22.0 °C

Sun May 12 21:11:42, EAST ENTRY, 22.0 °C

Sun May 12 21:11:42, WEST ENTRY, 22.0 °C

Sun May 12 21:11:42, SOUTH ENTRY, 22.0 °C

Sun May 12 21:11:42, NORTH ENTRY, 22.0 °C

Sun May 12 21:11:42, EAST ENTRY, 22.0 °C

Sun May 12 21:11:42, WEST ENTRY, 22.0 °C

Sun May 12 21:11:42, SOUTH ENTRY, 22.0 °C

Sun May 12 21:11:43, NORTH ENTRY, 20.0 °C

Sun May 12 21:11:43, EAST ENTRY, 20.0 °C

Sun May 12 21:11:43, WEST ENTRY, 20.0 °C

Sun May 12 21:11:43, SOUTH ENTRY, 20.0 °C

Sun May 12 21:11:44, NORTH ENTRY, 33.0 °C

Sun May 12 21:11:44, EAST ENTRY, 33.0 °C

Sun May 12 21:11:44, WEST ENTRY, 33.0 °C

Sun May 12 21:11:44, SOUTH ENTRY, 33.0 °C

Sun May 12 21:11:44, NORTH ENTRY, 33.0 °C

Sun May 12 21:11:44, EAST ENTRY, 33.0 °C

Sun May 12 21:11:44, WEST ENTRY, 33.0 °C

Sun May 12 21:11:44, SOUTH ENTRY, 33.0 °C

Sun May 12 21:11:45, NORTH ENTRY, 34.0 °C

Sun May 12 21:11:45, EAST ENTRY, 34.0 °C

Sun May 12 21:11:45, WEST ENTRY, 34.0 °C

Sun May 12 21:11:45, SOUTH ENTRY, 34.0 °C

Sun May 12 21:11:46, NORTH ENTRY, 21.0 °C

Sun May 12 21:11:46, EAST ENTRY, 21.0 °C

Sun May 12 21:11:46, WEST ENTRY, 21.0 °C

Sun May 12 21:11:46, SOUTH ENTRY, 21.0 °C

Sun May 12 21:11:46, NORTH ENTRY, 21.0 °C

Sun May 12 21:11:46, EAST ENTRY, 21.0 °C

Sun May 12 21:11:46, WEST ENTRY, 21.0 °C

Sun May 12 21:11:46, SOUTH ENTRY, 21.0 °C

Sun May 12 21:11:47, NORTH ENTRY, 23.0 °C

Sun May 12 21:11:47, EAST ENTRY, 23.0 °C

Sun May 12 21:11:47, WEST ENTRY, 23.0 °C

Sun May 12 21:11:47, SOUTH ENTRY, 23.0 °C

Sun May 12 21:11:48, NORTH ENTRY, 33.0 °C

Sun May 12 21:11:48, EAST ENTRY, 33.0 °C

Sun May 12 21:11:48, WEST ENTRY, 33.0 °C

Sun May 12 21:11:48, SOUTH ENTRY, 33.0 °C

Sun May 12 21:11:48, NORTH ENTRY, 33.0 °C

Sun May 12 21:11:48, EAST ENTRY, 33.0 °C

Sun May 12 21:11:48, WEST ENTRY, 33.0 °C

Sun May 12 21:11:48, SOUTH ENTRY, 33.0 °C

Sun May 12 21:11:49, NORTH ENTRY, 27.0 °C

Sun May 12 21:11:49, EAST ENTRY, 27.0 °C

Sun May 12 21:11:49, WEST ENTRY, 27.0 °C

Sun May 12 21:11:49, SOUTH ENTRY, 27.0 °C

Sun May 12 21:11:50, NORTH ENTRY, 27.0 °C

Sun May 12 21:11:50, EAST ENTRY, 27.0 °C

Sun May 12 21:11:50, WEST ENTRY, 27.0 °C

Sun May 12 21:11:50, SOUTH ENTRY, 27.0 °C

Sun May 12 21:11:50, NORTH ENTRY, 27.0 °C

Sun May 12 21:11:50, EAST ENTRY, 27.0 °C

Sun May 12 21:11:50, WEST ENTRY, 27.0 °C

Sun May 12 21:11:50, SOUTH ENTRY, 27.0 °C

Sun May 12 21:11:51, NORTH ENTRY, 31.0 °C

Sun May 12 21:11:51, EAST ENTRY, 31.0 °C

Sun May 12 21:11:51, WEST ENTRY, 31.0 °C

Sun May 12 21:11:51, SOUTH ENTRY, 31.0 °C

Sun May 12 21:11:52, NORTH ENTRY, 28.0 °C

Sun May 12 21:11:52, EAST ENTRY, 28.0 °C

Sun May 12 21:11:52, WEST ENTRY, 28.0 °C

Sun May 12 21:11:52, SOUTH ENTRY, 28.0 °C

Sun May 12 21:11:52, NORTH ENTRY, 28.0 °C

Sun May 12 21:11:52, EAST ENTRY, 28.0 °C

Sun May 12 21:11:52, WEST ENTRY, 28.0 °C

Sun May 12 21:11:52, SOUTH ENTRY, 28.0 °C

Sun May 12 21:11:53, NORTH ENTRY, 21.0 °C

Sun May 12 21:11:53, EAST ENTRY, 21.0 °C

Sun May 12 21:11:53, WEST ENTRY, 21.0 °C

Sun May 12 21:11:53, SOUTH ENTRY, 21.0 °C

Sun May 12 21:11:54, NORTH ENTRY, 36.0 °C

Sun May 12 21:11:54, EAST ENTRY, 36.0 °C

Sun May 12 21:11:54, WEST ENTRY, 36.0 °C

Sun May 12 21:11:54, SOUTH ENTRY, 36.0 °C

Sun May 12 21:11:54, NORTH ENTRY, 36.0 °C

Sun May 12 21:11:54, EAST ENTRY, 36.0 °C

Sun May 12 21:11:54, WEST ENTRY, 36.0 °C

Sun May 12 21:11:54, SOUTH ENTRY, 36.0 °C

Sun May 12 21:11:55, NORTH ENTRY, 23.0 °C

Sun May 12 21:11:55, EAST ENTRY, 23.0 °C

Sun May 12 21:11:55, WEST ENTRY, 23.0 °C

Sun May 12 21:11:55, SOUTH ENTRY, 23.0 °C

Sun May 12 21:11:56, NORTH ENTRY, 27.0 °C

Sun May 12 21:11:56, EAST ENTRY, 27.0 °C

Sun May 12 21:11:56, WEST ENTRY, 27.0 °C

Sun May 12 21:11:56, SOUTH ENTRY, 27.0 °C

Sun May 12 21:11:56, NORTH ENTRY, 27.0 °C

Sun May 12 21:11:56, EAST ENTRY, 27.0 °C

Sun May 12 21:11:56, WEST ENTRY, 27.0 °C

Sun May 12 21:11:56, SOUTH ENTRY, 27.0 °C

Sun May 12 21:11:57, NORTH ENTRY, 18.0 °C

Sun May 12 21:11:57, EAST ENTRY, 18.0 °C

Sun May 12 21:11:57, WEST ENTRY, 18.0 °C

Sun May 12 21:11:57, SOUTH ENTRY, 18.0 °C

Sun May 12 21:11:58, NORTH ENTRY, 37.0 °C

Sun May 12 21:11:58, EAST ENTRY, 37.0 °C

Sun May 12 21:11:58, WEST ENTRY, 37.0 °C

Sun May 12 21:11:58, SOUTH ENTRY, 37.0 °C

Sun May 12 21:11:58, NORTH ENTRY, 37.0 °C

Sun May 12 21:11:58, EAST ENTRY, 37.0 °C

Sun May 12 21:11:58, WEST ENTRY, 37.0 °C

Sun May 12 21:11:58, SOUTH ENTRY, 37.0 °C

Sun May 12 21:11:59, NORTH ENTRY, 31.0 °C

Sun May 12 21:11:59, EAST ENTRY, 31.0 °C

Sun May 12 21:11:59, WEST ENTRY, 31.0 °C

Sun May 12 21:11:59, SOUTH ENTRY, 31.0 °C

Sun May 12 21:12:00, NORTH ENTRY, 22.0 °C

Sun May 12 21:12:00, EAST ENTRY, 22.0 °C

Sun May 12 21:12:00, WEST ENTRY, 22.0 °C

Sun May 12 21:12:00, SOUTH ENTRY, 22.0 °C

Sun May 12 21:12:00, NORTH ENTRY, 22.0 °C

Sun May 12 21:12:00, EAST ENTRY, 22.0 °C

Sun May 12 21:12:00, WEST ENTRY, 22.0 °C

Sun May 12 21:12:00, SOUTH ENTRY, 22.0 °C

Sun May 12 21:12:01, NORTH ENTRY, 37.0 °C

Sun May 12 21:12:01, EAST ENTRY, 37.0 °C

Sun May 12 21:12:01, WEST ENTRY, 37.0 °C

Sun May 12 21:12:01, SOUTH ENTRY, 37.0 °C

Sun May 12 21:12:02, NORTH ENTRY, 20.0 °C

Sun May 12 21:12:02, EAST ENTRY, 20.0 °C

Sun May 12 21:12:02, WEST ENTRY, 20.0 °C

Sun May 12 21:12:02, SOUTH ENTRY, 20.0 °C

Sun May 12 21:12:02, NORTH ENTRY, 20.0 °C

Sun May 12 21:12:02, EAST ENTRY, 20.0 °C

Sun May 12 21:12:02, WEST ENTRY, 20.0 °C

Sun May 12 21:12:02, SOUTH ENTRY, 20.0 °C

Sun May 12 21:12:03, NORTH ENTRY, 37.0 °C

Sun May 12 21:12:03, EAST ENTRY, 37.0 °C

Sun May 12 21:12:03, WEST ENTRY, 37.0 °C

Sun May 12 21:12:03, SOUTH ENTRY, 37.0 °C

Sun May 12 21:12:04, NORTH ENTRY, 33.0 °C

Sun May 12 21:12:04, EAST ENTRY, 33.0 °C

Sun May 12 21:12:04, WEST ENTRY, 33.0 °C

Sun May 12 21:12:04, SOUTH ENTRY, 33.0 °C

Sun May 12 21:12:04, NORTH ENTRY, 33.0 °C

Sun May 12 21:12:04, EAST ENTRY, 33.0 °C

Sun May 12 21:12:04, WEST ENTRY, 33.0 °C

Sun May 12 21:12:04, SOUTH ENTRY, 33.0 °C

Sun May 12 21:12:05, NORTH ENTRY, 17.0 °C

Sun May 12 21:12:05, EAST ENTRY, 17.0 °C

Sun May 12 21:12:05, WEST ENTRY, 17.0 °C

Sun May 12 21:12:05, SOUTH ENTRY, 17.0 °C

Sun May 12 21:12:06, NORTH ENTRY, 18.0 °C

Sun May 12 21:12:06, EAST ENTRY, 18.0 °C

Sun May 12 21:12:06, WEST ENTRY, 18.0 °C

Sun May 12 21:12:06, SOUTH ENTRY, 18.0 °C

Sun May 12 21:12:06, NORTH ENTRY, 18.0 °C

Sun May 12 21:12:06, EAST ENTRY, 18.0 °C

Sun May 12 21:12:06, WEST ENTRY, 18.0 °C

Sun May 12 21:12:06, SOUTH ENTRY, 18.0 °C

Sun May 12 21:12:07, NORTH ENTRY, 16.0 °C

Sun May 12 21:12:07, EAST ENTRY, 16.0 °C

Sun May 12 21:12:07, WEST ENTRY, 16.0 °C

Sun May 12 21:12:07, SOUTH ENTRY, 16.0 °C

Sun May 12 21:12:08, NORTH ENTRY, 16.0 °C

Sun May 12 21:12:08, EAST ENTRY, 16.0 °C

Sun May 12 21:12:08, WEST ENTRY, 16.0 °C

Sun May 12 21:12:08, SOUTH ENTRY, 16.0 °C

Sun May 12 21:12:08, NORTH ENTRY, 16.0 °C

Sun May 12 21:12:08, EAST ENTRY, 16.0 °C

Sun May 12 21:12:08, WEST ENTRY, 16.0 °C

Sun May 12 21:12:08, SOUTH ENTRY, 16.0 °C

Sun May 12 21:12:09, NORTH ENTRY, 17.0 °C

Sun May 12 21:12:09, EAST ENTRY, 17.0 °C

Sun May 12 21:12:09, WEST ENTRY, 17.0 °C

